ID,year,CREATE DATE,ww_NUM,temp_ww,temp_Unit_type_RMA,PROCESS TYPE,RESULT,FAIL CODE,DESCRIPTION,MODEL NUMBER,SERIAL NUMBER,TARGET_YIELD,PASS_YIELD,FAIL,PASS
159,2024,6/8/2024 15:40,35,WW35,CRG,SF1,PASS,,,0855143-000,93024225083,0.975,1,0,1
160,2024,6/8/2024 17:21,35,WW35,CRG,SF1,PASS,,,0849263-001,93024225112,0.975,1,0,1
161,2024,6/8/2024 17:37,35,WW35,CRG,SF1,PASS,,,0849263-001,93024225110,0.975,1,0,1
162,2024,6/10/2024 8:19,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225039,0.975,1,0,1
163,2024,6/10/2024 8:34,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225111,0.975,1,0,1
164,2024,6/10/2024 8:35,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225111,0.975,1,0,1
165,2024,6/10/2024 8:56,36,WW36,CRG,SF1,PASS,,,0844243-000,93022235830,0.975,1,0,1
166,2024,6/10/2024 9:11,36,WW36,CRG,SF1,PASS,,,0844243-000,93022327004,0.975,1,0,1
167,2024,6/10/2024 9:46,36,WW36,CRG,SF1,PASS,,,0844243-000,93024025038,0.975,1,0,1
168,2024,6/10/2024 10:24,36,WW36,CRG,SF1,PASS,,,0594367-004,93023055667,0.975,1,0,1
169,2024,6/10/2024 10:56,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225118,0.975,1,0,1
170,2024,6/10/2024 10:57,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225117,0.975,1,0,1
171,2024,6/10/2024 11:16,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225115,0.975,1,0,1
172,2024,6/10/2024 13:12,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225114,0.975,1,0,1
173,2024,6/10/2024 13:12,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225113,0.975,1,0,1
174,2024,6/10/2024 13:40,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225042,0.975,1,0,1
175,2024,6/10/2024 14:13,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225041,0.975,1,0,1
176,2024,6/10/2024 14:53,36,WW36,CRG,SF1,FAIL,Fuse,2CB8 Not cut off,0844243-000,93024225040,0.975,0,1,0
177,2024,6/10/2024 15:24,36,WW36,CRG,SF1,PASS,,,0844243-000,93022095016,0.975,1,0,1
178,2024,6/10/2024 15:54,36,WW36,CRG,SF1,PASS,,,0696003-000,37023155477,0.975,1,0,1
179,2024,6/10/2024 17:38,36,WW36,CRG,SF1,PASS,Fuse,2CB8 Not cut off,0844243-000,93024225040,0.975,1,0,1
180,2024,6/10/2024 18:27,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225043,0.975,1,0,1
181,2024,6/10/2024 18:39,36,WW36,CRG,SF1,PASS,,,0849263-001,93024225116,0.975,1,0,1
182,2024,6/11/2024 7:43,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225045,0.975,1,0,1
183,2024,6/11/2024 8:33,36,WW36,CRG,SF1,FAIL,FUSE,fuse 2CB8 10A not cut off,0844243-000,93024225044,0.975,0,1,0
184,2024,6/11/2024 9:01,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225046,0.975,1,0,1
185,2024,6/11/2024 12:47,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245005,0.975,1,0,1
186,2024,6/11/2024 13:05,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245005,0.975,1,0,1
187,2024,6/11/2024 13:12,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225044,0.975,1,0,1
188,2024,6/11/2024 14:04,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225047,0.975,1,0,1
189,2024,6/11/2024 14:14,36,WW36,CRG,SF1,FAIL,FUSE,FUSE 2 CB8 10A,0844243-000,93024225048,0.975,0,1,0
190,2024,6/11/2024 15:11,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245007,0.975,1,0,1
191,2024,6/11/2024 15:11,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245007,0.975,1,0,1
192,2024,6/11/2024 15:12,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245007,0.975,1,0,1
193,2024,6/11/2024 15:53,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245008,0.975,1,0,1
194,2024,6/11/2024 15:54,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245008,0.975,1,0,1
195,2024,6/11/2024 17:59,36,WW36,CRG,SF1,PASS,Fuse,2CB8 Not cut off,0844243-000,93024225048,0.975,1,0,1
196,2024,6/12/2024 8:34,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225051,0.975,1,0,1
197,2024,6/12/2024 8:34,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225049,0.975,1,0,1
198,2024,6/12/2024 9:16,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225050,0.975,1,0,1
199,2024,6/12/2024 10:13,36,WW36,RMA,DV2,FAIL,PSU,24VDC No output,0844243-000,93024025035,0.975,0,1,0
200,2024,6/12/2024 11:25,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245006,0.975,1,0,1
201,2024,6/12/2024 11:25,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245006,0.975,1,0,1
202,2024,6/12/2024 13:05,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245009,0.975,1,0,1
203,2024,6/12/2024 13:06,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245009,0.975,1,0,1
204,2024,6/12/2024 13:44,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225052,0.975,1,0,1
205,2024,6/12/2024 14:29,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245011,0.975,1,0,1
206,2024,6/12/2024 14:30,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245011,0.975,1,0,1
207,2024,6/12/2024 14:54,36,WW36,CRG,SF1,FAIL,FUSE,Fuse  2CB8 10A not cut off,0844243-000,93024225053,0.975,0,1,0
208,2024,6/12/2024 15:17,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245053,0.975,1,0,1
209,2024,6/12/2024 15:33,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245052,0.975,1,0,1
210,2024,6/12/2024 17:35,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225053,0.975,1,0,1
211,2024,6/12/2024 17:46,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245055,0.975,1,0,1
212,2024,6/12/2024 17:54,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245056,0.975,1,0,1
213,2024,6/12/2024 18:04,36,WW36,CRG,SF1,PASS,,,0844243-000,93024225053,0.975,1,0,1
214,2024,6/12/2024 18:33,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245010,0.975,1,0,1
215,2024,6/12/2024 18:33,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245010,0.975,1,0,1
216,2024,6/13/2024 7:39,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245054,0.975,1,0,1
217,2024,6/13/2024 7:48,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245057,0.975,1,0,1
218,2024,6/13/2024 8:35,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245059,0.975,1,0,1
219,2024,6/13/2024 8:43,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245058,0.975,1,0,1
220,2024,6/13/2024 10:04,36,WW36,CRG,SF1,PASS,,,0567096-010,93024205009,0.975,1,0,1
221,2024,6/13/2024 10:18,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245062,0.975,1,0,1
222,2024,6/13/2024 10:29,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245060,0.975,1,0,1
223,2024,6/13/2024 10:54,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245061,0.975,1,0,1
224,2024,6/13/2024 11:05,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245063,0.975,1,0,1
225,2024,6/13/2024 13:27,36,WW36,RMA,DV2,FAIL,LED,TOOL IF RED LED not lit,0825602-000,93022375069,0.975,0,1,0
226,2024,6/13/2024 14:12,36,WW36,RMA,DV2,FAIL,AVBL,Connector JOHT1 Damage,0749383-000,93022205196,0.975,0,1,0
227,2024,6/13/2024 15:53,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245065,0.975,1,0,1
228,2024,6/13/2024 17:20,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245067,0.975,1,0,1
229,2024,6/13/2024 17:51,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245064,0.975,1,0,1
230,2024,6/13/2024 18:00,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245066,0.975,1,0,1
231,2024,6/14/2024 7:31,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245069,0.975,1,0,1
232,2024,6/14/2024 7:40,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245068,0.975,1,0,1
233,2024,6/14/2024 8:09,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245070,0.975,1,0,1
234,2024,6/14/2024 8:43,36,WW36,CRG,SF1,PASS,,,0689319-002,93024245071,0.975,1,0,1
235,2024,6/14/2024 9:10,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245072,0.975,1,0,1
236,2024,6/14/2024 9:11,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245072,0.975,1,0,1
237,2024,6/14/2024 9:58,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245073,0.975,1,0,1
238,2024,6/14/2024 9:58,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245073,0.975,1,0,1
239,2024,6/14/2024 14:37,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245077,0.975,1,0,1
240,2024,6/14/2024 14:37,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245077,0.975,1,0,1
241,2024,6/14/2024 14:57,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245074,0.975,1,0,1
242,2024,6/14/2024 14:58,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245074,0.975,1,0,1
243,2024,6/14/2024 15:18,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245075,0.975,1,0,1
244,2024,6/14/2024 15:18,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245075,0.975,1,0,1
245,2024,6/14/2024 15:39,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245076,0.975,1,0,1
246,2024,6/14/2024 15:39,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245076,0.975,1,0,1
247,2024,6/14/2024 18:16,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245078,0.975,1,0,1
248,2024,6/14/2024 18:18,36,WW36,CRG,SF2,FAIL,PSU,FAIL 24V,0749383-000,93024245078,0.975,0,1,0
249,2024,6/14/2024 18:47,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245005,0.975,1,0,1
250,2024,6/15/2024 7:43,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245007,0.975,1,0,1
251,2024,6/15/2024 8:08,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245078,0.975,1,0,1
252,2024,6/15/2024 8:26,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245081,0.975,1,0,1
253,2024,6/15/2024 8:26,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245081,0.975,1,0,1
254,2024,6/15/2024 9:10,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245079,0.975,1,0,1
255,2024,6/15/2024 9:10,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245079,0.975,1,0,1
256,2024,6/15/2024 9:34,36,WW36,CRG,SF1,PASS,,,0749383-000,93024245080,0.975,1,0,1
257,2024,6/15/2024 9:34,36,WW36,CRG,SF2,PASS,,,0749383-000,93024245080,0.975,1,0,1
258,2024,6/15/2024 10:12,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245006,0.975,1,0,1
259,2024,6/15/2024 10:46,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245009,0.975,1,0,1
260,2024,6/15/2024 13:28,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245013,0.975,1,0,1
261,2024,6/15/2024 13:28,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245013,0.975,1,0,1
262,2024,6/15/2024 13:48,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245012,0.975,1,0,1
263,2024,6/15/2024 13:51,36,WW36,CRG,SF2,FAIL,LED,LED LP1 MOUTN RED NOT LIT,0825602-001,93024245012,0.975,0,1,0
264,2024,6/15/2024 14:16,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245012,0.975,1,0,1
265,2024,6/15/2024 14:48,36,WW36,CRG,SF1,PASS,,,0825602-001,93024245014,0.975,1,0,1
266,2024,6/15/2024 14:49,36,WW36,CRG,SF2,PASS,,,0825602-001,93024245014,0.975,1,0,1
267,2024,6/15/2024 15:21,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245011,0.975,1,0,1
268,2024,6/15/2024 15:45,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245010,0.975,1,0,1
269,2024,6/15/2024 18:03,36,WW36,CRG,SF1,PASS,,,0567096-010,93024245102,0.975,1,0,1
270,2024,6/15/2024 18:24,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245012,0.975,1,0,1
271,2024,6/15/2024 18:44,36,WW36,CRG,SF3,PASS,,,0825602-001,93024245013,0.975,1,0,1
272,2024,6/17/2024 8:18,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245103,0.975,1,0,1
273,2024,6/17/2024 8:48,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245008,0.975,1,0,1
274,2024,6/17/2024 9:11,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245014,0.975,1,0,1
275,2024,6/17/2024 9:46,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245083,0.975,1,0,1
276,2024,6/17/2024 9:46,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245083,0.975,1,0,1
277,2024,6/17/2024 11:01,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245082,0.975,1,0,1
278,2024,6/17/2024 11:03,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245082,0.975,1,0,1
279,2024,6/17/2024 13:53,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245083,0.975,1,0,1
280,2024,6/17/2024 14:26,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245082,0.975,1,0,1
281,2024,6/17/2024 15:55,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245106,0.975,1,0,1
282,2024,6/18/2024 8:34,37,WW37,CRG,SF1,PASS,,,0825602-001,93022456460,0.975,1,0,1
283,2024,6/18/2024 9:25,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245087,0.975,1,0,1
284,2024,6/18/2024 9:26,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245087,0.975,1,0,1
285,2024,6/18/2024 9:56,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245086,0.975,1,0,1
286,2024,6/18/2024 9:56,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245086,0.975,1,0,1
287,2024,6/18/2024 10:28,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245090,0.975,1,0,1
288,2024,6/18/2024 10:29,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245090,0.975,1,0,1
289,2024,6/18/2024 10:50,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245088,0.975,1,0,1
291,2024,6/18/2024 10:52,37,WW37,CRG,SF2,FAIL,LED,Led EXT INT D not lit,0825602-001,93024245088,0.975,0,1,0
292,2024,6/18/2024 12:53,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245088,0.975,1,0,1
293,2024,6/18/2024 13:19,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245089,0.975,1,0,1
294,2024,6/18/2024 13:20,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245089,0.975,1,0,1
295,2024,6/18/2024 13:44,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245085,0.975,1,0,1
296,2024,6/18/2024 13:44,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245085,0.975,1,0,1
297,2024,6/18/2024 14:07,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245084,0.975,1,0,1
298,2024,6/18/2024 14:07,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245084,0.975,1,0,1
299,2024,6/18/2024 14:42,37,WW37,RMA,DV2,FAIL,PSU,Power supply No 24V,0844243-000,93023115041,0.975,0,1,0
300,2024,6/18/2024 15:10,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245092,0.975,1,0,1
301,2024,6/18/2024 15:13,37,WW37,CRG,SF2,FAIL,LED,EXT INT GREEN LP2FOUP /DOOR GREEN NOT LIT,0825602-001,93024245092,0.975,0,1,0
302,2024,6/18/2024 15:45,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245091,0.975,1,0,1
303,2024,6/18/2024 15:45,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245091,0.975,1,0,1
304,2024,6/18/2024 17:26,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245084,0.975,1,0,1
305,2024,6/18/2024 17:46,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245085,0.975,1,0,1
306,2024,6/18/2024 18:07,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245086,0.975,1,0,1
307,2024,6/18/2024 18:25,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245087,0.975,1,0,1
308,2024,6/18/2024 18:43,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245089,0.975,1,0,1
309,2024,6/19/2024 8:09,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245090,0.975,1,0,1
310,2024,6/19/2024 8:17,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245088,0.975,1,0,1
311,2024,6/19/2024 8:30,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245092,0.975,1,0,1
312,2024,6/19/2024 9:55,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245104,0.975,1,0,1
313,2024,6/19/2024 11:08,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245105,0.975,1,0,1
314,2024,6/19/2024 12:40,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245091,0.975,1,0,1
315,2024,6/19/2024 13:03,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245092,0.975,1,0,1
316,2024,6/19/2024 14:06,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245139,0.975,1,0,1
317,2024,6/19/2024 15:10,37,WW37,CRG,SF1,PASS,,,0831827-002,93022346999,0.975,1,0,1
318,2024,6/19/2024 15:10,37,WW37,CRG,SF1,PASS,,,0831827-002,93020435338,0.975,1,0,1
319,2024,6/19/2024 15:42,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245095,0.975,1,0,1
320,2024,6/19/2024 15:42,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245095,0.975,1,0,1
322,2024,6/19/2024 17:20,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245093,0.975,1,0,1
323,2024,6/19/2024 17:20,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245093,0.975,1,0,1
324,2024,6/19/2024 17:36,37,WW37,RMA,DV2,FAIL,PSU,no DC output because resister is not connect to terminal,0825602-001,93022515151,0.975,0,1,0
325,2024,6/19/2024 17:50,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245096,0.975,1,0,1
326,2024,6/19/2024 17:50,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245096,0.975,1,0,1
327,2024,6/19/2024 18:11,37,WW37,CRG,SF1,PASS,,,0825602-001,93024245094,0.975,1,0,1
328,2024,6/19/2024 18:14,37,WW37,CRG,SF2,FAIL,LED,lp2 1 foup/door n green lp2 2 foup/door d red not lit,0825602-001,93024245094,0.975,0,1,0
329,2024,6/20/2024 7:07,37,WW37,CRG,SF2,PASS,,,0825602-001,93024245094,0.975,1,0,1
330,2024,6/20/2024 8:42,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245093,0.975,1,0,1
331,2024,6/20/2024 8:42,37,WW37,CRG,SF3,PASS,,,0825602-001,93024245095,0.975,1,0,1
332,2024,6/20/2024 10:51,37,WW37,RMA,DV2,FAIL,PSU,no all dc output,0825602-001,93019245030,0.975,0,1,0
333,2024,6/20/2024 10:51,37,WW37,RMA,DV2,FAIL,LED,interlock led dim,0825602-001,93019245030,0.975,0,1,0
334,2024,6/20/2024 10:52,37,WW37,RMA,DV2,FAIL,CABLE,bad cable FFU,0825602-001,93019245030,0.975,0,1,0
335,2024,6/20/2024 10:53,37,WW37,RMA,DV2,FAIL,2LED1,2led1 not lit,0825602-001,93019245030,0.975,0,1,0
336,2024,6/20/2024 11:05,37,WW37,CRG,SF1,PASS,,,0567096-010,93024245140,0.975,1,0,1
