ID,SERIAL NUMBER,MODEL NUMBER,WORK ORDER,FAIL CODE,DESCRIPTION,ROOT COUSE,SOLUTION,PROCESS TYPE,UNIT LOCATION,DEBUG BY,CREATE DATE,RESULT,CURRENT STATUS,CREATE BY,temp_running,temp_sn_1st_RMA,temp_Unit_type_RMA,temp_sn_by_source,month,year,h_month,temp_ww,temp_ww_num,TARGET_YIELD,PASS,FAIL
122,93024225012,0825602-001,19067023,,,,,SF1,WIP,,6/3/2024 13:44,PASS,WIP,288422,,,CRG,93024225012-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
123,93024225012,0825602-001,19067023,cable,led no light 0117772-000,,,SF2,WIP,,6/3/2024 13:49,FAIL,REVIEW,288422,,,CRG,93024225012-SF2-CRG-FAIL,Jun,2024,Jun-2024,WW35,35,0.975,0,1
124,93024225012,0825602-001,19067023,,,,,SF2,WIP,,6/3/2024 14:28,PASS,WIP,288422,,,CRG,93024225012-SF2-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
125,93024225015,0825602-001,19067023,,,,,SF1,WIP,,6/3/2024 14:56,PASS,WIP,288422,,,CRG,93024225015-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
126,93024225015,0825602-001,19067023,,,,,SF2,WIP,,6/3/2024 14:57,PASS,WIP,288422,,,CRG,93024225015-SF2-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
127,93024225013,0825602-001,19067023,,,,,SF1,WIP,,6/3/2024 15:32,PASS,WIP,288422,,,CRG,93024225013-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
128,93024225013,0825602-001,19067023,,,,,SF2,WIP,,6/3/2024 15:33,PASS,WIP,288422,,,CRG,93024225013-SF2-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
129,93024225014,0825602-001,19067023,,,,,SF1,WIP,,6/3/2024 15:47,PASS,WIP,288422,,,CRG,93024225014-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
130,93024225014,0825602-001,19067023,,,,,SF2,WIP,,6/3/2024 15:49,PASS,WIP,288422,,,CRG,93024225014-SF2-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
131,93024225015,0825602-001,19067023,,,,,SF3,WIP,,6/3/2024 18:08,PASS,WIP,288422,,,CRG,93024225015-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
132,93024225012,0825602-001,19067023,,,,,SF3,WIP,,6/3/2024 18:30,PASS,WIP,288422,,,CRG,93024225012-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
133,93024225014,0825602-001,19067023,,,,,SF3,WIP,,6/3/2024 18:50,PASS,WIP,288422,,,CRG,93024225014-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
134,93024225013,0825602-001,19067023,,,,,SF3,WIP,,6/4/2024 8:48,PASS,WIP,288422,,,CRG,93024225013-SF3-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
135,93024225066,0696003-000,18997400,,,,,SF1,WIP,,6/4/2024 9:27,PASS,WIP,288422,,,CRG,93024225066-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
136,93024225064,0696003-000,18997400,,,,,SF1,WIP,,6/4/2024 10:34,PASS,WIP,288422,,,CRG,93024225064-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
137,93024225075,0855143-000,19085240,,,,,SF1,WIP,,6/4/2024 13:05,PASS,WIP,288422,,,CRG,93024225075-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
138,93015455165,0318410-003,18913892,,,,,DV2,Inventory,,6/5/2024 9:14,PASS,WIP,273270,,93015455165,RMA,93015455165-DV2-RMA-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
139,93022515149,0825602-001,18635640,,,,,DV2,WIP,,6/5/2024 10:12,PASS,WIP,273270,,93022515149,RMA,93022515149-DV2-RMA-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
140,93024225077,0855143-000,19085240,,,,,SF1,WIP,,6/5/2024 15:10,PASS,WIP,273270,,,CRG,93024225077-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
141,93024225076,0855143-000,19085240,PLC_CPU,cannot control plc,,,SF1,WIP,,6/5/2024 15:58,FAIL,REVIEW,288422,,,CRG,93024225076-SF1-CRG-FAIL,Jun,2024,Jun-2024,WW35,35,0.975,0,1
142,93024225078,0855143-000,19085240,,,,,SF1,WIP,,6/5/2024 18:03,PASS,WIP,288422,,,CRG,93024225078-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
143,93024225068,0696003-000,18997400,,,,,SF1,WIP,,6/5/2024 18:22,PASS,WIP,288422,,,CRG,93024225068-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
144,93024225067,0696003-000,18997400,,,,,SF1,WIP,,6/5/2024 18:43,PASS,WIP,288422,,,CRG,93024225067-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
145,93024225079,0855143-000,19085240,,,,,SF1,WIP,,6/6/2024 13:34,PASS,WIP,288422,,,CRG,93024225079-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
146,93024225076,0855143-000,19085240,,,,,SF1,Fix,,6/6/2024 15:14,PASS,WIP,288422,,,CRG,93024225076-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
147,93024225076,0855143-000,19085240,,,,,SF1,WIP,,6/6/2024 15:18,PASS,WIP,288422,,,CRG,93024225076-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
148,93024225069,0696003-000,18997400,,,,,SF1,WIP,,6/6/2024 17:38,PASS,WIP,288422,,,CRG,93024225069-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
149,93024225080,0855143-000,19085240,,,,,SF1,WIP,,6/6/2024 18:53,PASS,WIP,288422,,,CRG,93024225080-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
150,93024225081,0855143-000,19085240,,,,,SF1,WIP,,6/7/2024 10:21,PASS,WIP,273270,,,CRG,93024225081-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
151,93024225070,0696003-000,18997400,,,,,SF1,WIP,,6/7/2024 10:57,PASS,WIP,273270,,,CRG,93024225070-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
152,93024225071,0696003-000,18997400,,,,,SF1,WIP,,6/7/2024 17:34,PASS,WIP,288422,,,CRG,93024225071-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
153,93023495029,0849263-001,18990241,,,,,DV2,WIP,,6/7/2024 18:05,PASS,WIP,288422,,93023495029,RMA,93023495029-DV2-RMA-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
154,93023485010,0696003-000,18678646,,,,,SF1,WIP,,6/8/2024 8:24,PASS,WIP,277703,,,CRG,93023485010-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
155,93024225082,0855143-000,19085240,,,,,SF1,WIP,,6/8/2024 9:30,PASS,WIP,277703,,,CRG,93024225082-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
156,93024225072,0696003-000,18997400,,,,,SF1,WIP,,6/8/2024 10:28,PASS,WIP,277703,,,CRG,93024225072-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
157,93024225084,0855143-000,19085240,,,,,SF1,WIP,,6/8/2024 13:39,PASS,WIP,277703,,,CRG,93024225084-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
158,93024225109,0849263-001,17584558,,,,,SF1,WIP,,6/8/2024 14:11,PASS,WIP,277703,,,CRG,93024225109-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
159,93024225083,0855143-000,19085240,,,,,SF1,WIP,,6/8/2024 15:40,PASS,WIP,277703,,,CRG,93024225083-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
160,93024225112,0849263-001,17584558,,,,,SF1,WIP,,6/8/2024 17:21,PASS,WIP,277703,,,CRG,93024225112-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
161,93024225110,0849263-001,17584558,,,,,SF1,WIP,,6/8/2024 17:37,PASS,WIP,277703,,,CRG,93024225110-SF1-CRG-PASS,Jun,2024,Jun-2024,WW35,35,0.975,1,0
162,93024225039,0844243-000,18491682,,,,,SF1,WIP,,6/10/2024 8:19,PASS,WIP,288422,,,CRG,93024225039-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
163,93024225111,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 8:34,PASS,WIP,288422,,,CRG,93024225111-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
164,93024225111,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 8:35,PASS,WIP,288422,,,CRG,93024225111-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
165,93022235830,0844243-000,18904163,,,,,SF1,WIP,,6/10/2024 8:56,PASS,WIP,288422,,,CRG,93022235830-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
166,93022327004,0844243-000,18926248,,,,,SF1,WIP,,6/10/2024 9:11,PASS,WIP,288422,,,CRG,93022327004-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
167,93024025038,0844243-000,18904202,,,,,SF1,WIP,,6/10/2024 9:46,PASS,WIP,288422,,,CRG,93024025038-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
168,93023055667,0594367-004,18562994,,,,,SF1,WIP,,6/10/2024 10:24,PASS,WIP,288422,,,CRG,93023055667-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
169,93024225118,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 10:56,PASS,WIP,288422,,,CRG,93024225118-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
170,93024225117,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 10:57,PASS,WIP,288422,,,CRG,93024225117-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
171,93024225115,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 11:16,PASS,WIP,288422,,,CRG,93024225115-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
172,93024225114,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 13:12,PASS,WIP,288422,,,CRG,93024225114-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
173,93024225113,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 13:12,PASS,WIP,288422,,,CRG,93024225113-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
174,93024225042,0844243-000,18491682,,,,,SF1,WIP,,6/10/2024 13:40,PASS,WIP,288422,,,CRG,93024225042-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
175,93024225041,0844243-000,18491682,,,,,SF1,WIP,,6/10/2024 14:13,PASS,WIP,288422,,,CRG,93024225041-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
176,93024225040,0844243-000,18491682,Fuse,2CB8 Not cut off,,,SF1,WIP,,6/10/2024 14:53,FAIL,REVIEW,288422,,,CRG,93024225040-SF1-CRG-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
177,93022095016,0844243-000,18913884,,,,,SF1,WIP,,6/10/2024 15:24,PASS,WIP,288422,,,CRG,93022095016-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
178,37023155477,0696003-000,18397018,,,,,SF1,WIP,,6/10/2024 15:54,PASS,WIP,288422,,,CRG,37023155477-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
179,93024225040,0844243-000,18491682,Fuse,2CB8 Not cut off,,,SF1,WIP,,6/10/2024 17:38,PASS,WIP,288422,,,CRG,93024225040-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
180,93024225043,0844243-000,18491682,,,,,SF1,WIP,,6/10/2024 18:27,PASS,WIP,288422,,,CRG,93024225043-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
181,93024225116,0849263-001,17584558,,,,,SF1,WIP,,6/10/2024 18:39,PASS,WIP,288422,,,CRG,93024225116-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
182,93024225045,0844243-000,18491682,,,,,SF1,WIP,,6/11/2024 7:43,PASS,WIP,288422,,,CRG,93024225045-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
183,93024225044,0844243-000,18491682,FUSE,fuse 2CB8 10A not cut off,,,SF1,WIP,,6/11/2024 8:33,FAIL,REVIEW,288422,,,CRG,93024225044-SF1-CRG-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
184,93024225046,0844243-000,18491682,,,,,SF1,WIP,,6/11/2024 9:01,PASS,WIP,288422,,,CRG,93024225046-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
185,93024245005,0825602-001,18004803,,,,,SF1,WIP,,6/11/2024 12:47,PASS,WIP,288422,,,CRG,93024245005-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
186,93024245005,0825602-001,18004803,,,,,SF2,WIP,,6/11/2024 13:05,PASS,WIP,288422,,,CRG,93024245005-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
187,93024225044,0844243-000,18491682,,,,,SF1,WIP,,6/11/2024 13:12,PASS,WIP,288422,,,CRG,93024225044-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
188,93024225047,0844243-000,18491682,,,,,SF1,WIP,,6/11/2024 14:04,PASS,WIP,288422,,,CRG,93024225047-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
189,93024225048,0844243-000,18491682,FUSE,FUSE 2 CB8 10A,,,SF1,WIP,,6/11/2024 14:14,FAIL,REVIEW,288422,,,CRG,93024225048-SF1-CRG-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
190,93024245007,0825602-001,18004803,,,,,SF1,WIP,,6/11/2024 15:11,PASS,WIP,288422,,,CRG,93024245007-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
191,93024245007,0825602-001,18004803,,,,,SF1,WIP,,6/11/2024 15:11,PASS,WIP,288422,,,CRG,93024245007-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
192,93024245007,0825602-001,18004803,,,,,SF2,WIP,,6/11/2024 15:12,PASS,WIP,288422,,,CRG,93024245007-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
193,93024245008,0825602-001,18004803,,,,,SF1,WIP,,6/11/2024 15:53,PASS,WIP,288422,,,CRG,93024245008-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
194,93024245008,0825602-001,18004803,,,,,SF2,WIP,,6/11/2024 15:54,PASS,WIP,288422,,,CRG,93024245008-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
195,93024225048,0844243-000,18491682,Fuse,2CB8 Not cut off,,,SF1,WIP,,6/11/2024 17:59,PASS,WIP,288422,,,CRG,93024225048-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
196,93024225051,0844243-000,18491682,,,,,SF1,WIP,,6/12/2024 8:34,PASS,WIP,288422,,,CRG,93024225051-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
197,93024225049,0844243-000,18491682,,,,,SF1,WIP,,6/12/2024 8:34,PASS,WIP,288422,,,CRG,93024225049-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
198,93024225050,0844243-000,18491682,,,,,SF1,WIP,,6/12/2024 9:16,PASS,WIP,288422,,,CRG,93024225050-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
199,93024025035,0844243-000,19017138,PSU,24VDC No output,,,DV2,WIP,,6/12/2024 10:13,FAIL,REVIEW,222222,,93024025035,RMA,93024025035-DV2-RMA-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
200,93024245006,0825602-001,18004803,,,,,SF1,WIP,,6/12/2024 11:25,PASS,WIP,288422,,,CRG,93024245006-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
201,93024245006,0825602-001,18004803,,,,,SF2,WIP,,6/12/2024 11:25,PASS,WIP,288422,,,CRG,93024245006-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
202,93024245009,0825602-001,18004803,,,,,SF1,WIP,,6/12/2024 13:05,PASS,WIP,288422,,,CRG,93024245009-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
203,93024245009,0825602-001,18004803,,,,,SF2,WIP,,6/12/2024 13:06,PASS,WIP,288422,,,CRG,93024245009-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
204,93024225052,0844243-000,18491682,,,,,SF1,WIP,,6/12/2024 13:44,PASS,WIP,288422,,,CRG,93024225052-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
205,93024245011,0825602-001,19084568,,,,,SF1,WIP,,6/12/2024 14:29,PASS,WIP,288422,,,CRG,93024245011-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
206,93024245011,0825602-001,19084568,,,,,SF2,WIP,,6/12/2024 14:30,PASS,WIP,288422,,,CRG,93024245011-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
207,93024225053,0844243-000,18491682,FUSE,Fuse  2CB8 10A not cut off,,,SF1,WIP,,6/12/2024 14:54,FAIL,REVIEW,288422,,,CRG,93024225053-SF1-CRG-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
208,93024245053,0689319-002,16852822,,,,,SF1,WIP,,6/12/2024 15:17,PASS,WIP,288422,,,CRG,93024245053-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
209,93024245052,0689319-002,16852822,,,,,SF1,WIP,,6/12/2024 15:33,PASS,WIP,288422,,,CRG,93024245052-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
210,93024225053,0844243-000,18491682,,,,,SF1,Fix,,6/12/2024 17:35,PASS,WIP,288422,,,CRG,93024225053-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
211,93024245055,0689319-002,16852822,,,,,SF1,WIP,,6/12/2024 17:46,PASS,WIP,288422,,,CRG,93024245055-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
212,93024245056,0689319-002,16852822,,,,,SF1,WIP,,6/12/2024 17:54,PASS,WIP,288422,,,CRG,93024245056-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
213,93024225053,0844243-000,18491682,,,,,SF1,WIP,,6/12/2024 18:04,PASS,WIP,288422,,,CRG,93024225053-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
214,93024245010,0825602-001,19084568,,,,,SF1,WIP,,6/12/2024 18:33,PASS,WIP,288422,,,CRG,93024245010-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
215,93024245010,0825602-001,19084568,,,,,SF2,WIP,,6/12/2024 18:33,PASS,WIP,288422,,,CRG,93024245010-SF2-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
216,93024245054,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 7:39,PASS,WIP,288422,,,CRG,93024245054-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
217,93024245057,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 7:48,PASS,WIP,288422,,,CRG,93024245057-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
218,93024245059,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 8:35,PASS,WIP,288422,,,CRG,93024245059-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
219,93024245058,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 8:43,PASS,WIP,288422,,,CRG,93024245058-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
220,93024205009,0567096-010,18938700,,,,,SF1,WIP,,6/13/2024 10:04,PASS,WIP,288422,,,CRG,93024205009-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
221,93024245062,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 10:18,PASS,WIP,288422,,,CRG,93024245062-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
222,93024245060,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 10:29,PASS,WIP,288422,,,CRG,93024245060-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
223,93024245061,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 10:54,PASS,WIP,288422,,,CRG,93024245061-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
224,93024245063,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 11:05,PASS,WIP,288422,,,CRG,93024245063-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
225,93022375069,0825602-000,19087164,LED,TOOL IF RED LED not lit,0116354-001 (Rework PCBA),,DV2,WIP,,6/13/2024 13:27,FAIL,REVIEW,288422,,93022375069,RMA,93022375069-DV2-RMA-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
226,93022205196,0749383-000,18966061,AVBL,Connector JOHT1 Damage,,,DV2,WIP,,6/13/2024 14:12,FAIL,REVIEW,273270,,93022205196,RMA,93022205196-DV2-RMA-FAIL,Jun,2024,Jun-2024,WW36,36,0.975,0,1
227,93024245065,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 15:53,PASS,WIP,288422,,,CRG,93024245065-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
228,93024245067,0689319-002,16852822,,,,,SF1,WIP,,6/13/2024 17:20,PASS,WIP,288422,,,CRG,93024245067-SF1-CRG-PASS,Jun,2024,Jun-2024,WW36,36,0.975,1,0
